Date,Centre_Name,Commodity_Name,Price
16-01-09,JAIPUR,Potato,170
16-01-09,PATNA,Potato,NA
16-01-09,RANCHI,Potato,NA
16-01-09,BHUBANESHWAR,Potato,450
16-01-09,KOLKATA,Potato,NA
16-01-09,GUWAHATI,Potato,NA
16-01-09,SHILLONG,Potato,NA
16-01-09,AIZWAL,Potato,NA
16-01-09,KOHIMA,Potato,NA
16-01-09,AGARTALA,Potato,NA
16-01-09,BENGALURU,Potato,NA
16-01-09,T.PURAM,Potato,NA
16-01-09,CHENNAI,Potato,NA
16-01-09,HYDERABAD,Potato,NA
19-01-09,CHANDIGARH,Potato,NA
19-01-09,DELHI,Potato,225
19-01-09,SHIMLA,Potato,NA
19-01-09,SRINAGAR,Potato,NA
19-01-09,JAMMU,Potato,NA
19-01-09,AMRITSAR,Potato,NA
19-01-09,LUDHIANA,Potato,NA
19-01-09,LUCKNOW,Potato,NA
19-01-09,DEHRADUN,Potato,NA
19-01-09,RAIPUR,Potato,NA
19-01-09,AHMEDABAD,Potato,NA
19-01-09,BHOPAL,Potato,NA
19-01-09,MUMBAI,Potato,NA
19-01-09,JAIPUR,Potato,170
19-01-09,PATNA,Potato,NA
19-01-09,RANCHI,Potato,NA
19-01-09,BHUBANESHWAR,Potato,450
19-01-09,KOLKATA,Potato,NA
19-01-09,GUWAHATI,Potato,NA
19-01-09,SHILLONG,Potato,NA
19-01-09,AIZWAL,Potato,NA
19-01-09,KOHIMA,Potato,NA
19-01-09,AGARTALA,Potato,NA
19-01-09,BENGALURU,Potato,1000
19-01-09,T.PURAM,Potato,NA
19-01-09,CHENNAI,Potato,800
19-01-09,HYDERABAD,Potato,NA
20-01-09,CHANDIGARH,Potato,NA
20-01-09,DELHI,Potato,250
20-01-09,SHIMLA,Potato,NA
20-01-09,SRINAGAR,Potato,NA
20-01-09,JAMMU,Potato,NA
20-01-09,AMRITSAR,Potato,NA
20-01-09,LUDHIANA,Potato,NA
20-01-09,LUCKNOW,Potato,NA
20-01-09,DEHRADUN,Potato,NA
20-01-09,RAIPUR,Potato,NA
20-01-09,AHMEDABAD,Potato,NA
20-01-09,BHOPAL,Potato,NA
20-01-09,MUMBAI,Potato,NA
20-01-09,JAIPUR,Potato,NA
20-01-09,PATNA,Potato,NA
20-01-09,RANCHI,Potato,NA
20-01-09,BHUBANESHWAR,Potato,450
20-01-09,KOLKATA,Potato,NA
20-01-09,GUWAHATI,Potato,NA
20-01-09,SHILLONG,Potato,NA
20-01-09,AIZWAL,Potato,NA
20-01-09,KOHIMA,Potato,NA
20-01-09,AGARTALA,Potato,NA
20-01-09,BENGALURU,Potato,NA
20-01-09,T.PURAM,Potato,NA
20-01-09,CHENNAI,Potato,800
20-01-09,HYDERABAD,Potato,NA
21-01-09,CHANDIGARH,Potato,NA
21-01-09,DELHI,Potato,250
21-01-09,SHIMLA,Potato,NA
21-01-09,SRINAGAR,Potato,NA
21-01-09,JAMMU,Potato,NA
21-01-09,AMRITSAR,Potato,NA
21-01-09,LUDHIANA,Potato,NA
21-01-09,LUCKNOW,Potato,NA
21-01-09,DEHRADUN,Potato,NA
21-01-09,RAIPUR,Potato,NA
21-01-09,AHMEDABAD,Potato,NA
21-01-09,BHOPAL,Potato,NA
21-01-09,MUMBAI,Potato,NA
21-01-09,JAIPUR,Potato,170
21-01-09,PATNA,Potato,NA
21-01-09,RANCHI,Potato,NA
21-01-09,BHUBANESHWAR,Potato,450
21-01-09,KOLKATA,Potato,NA
21-01-09,GUWAHATI,Potato,NA
21-01-09,SHILLONG,Potato,NA
21-01-09,AIZWAL,Potato,NA
21-01-09,KOHIMA,Potato,NA
21-01-09,AGARTALA,Potato,NA
21-01-09,BENGALURU,Potato,1100
21-01-09,T.PURAM,Potato,NA
21-01-09,CHENNAI,Potato,NA
21-01-09,HYDERABAD,Potato,NA
22-01-09,CHANDIGARH,Potato,NA
22-01-09,DELHI,Potato,250
22-01-09,SHIMLA,Potato,NA
22-01-09,SRINAGAR,Potato,NA
22-01-09,JAMMU,Potato,NA
22-01-09,AMRITSAR,Potato,300
22-01-09,LUDHIANA,Potato,400
22-01-09,LUCKNOW,Potato,NA
22-01-09,DEHRADUN,Potato,NA
22-01-09,RAIPUR,Potato,NA
22-01-09,AHMEDABAD,Potato,NA
22-01-09,BHOPAL,Potato,NA
22-01-09,MUMBAI,Potato,NA
22-01-09,JAIPUR,Potato,200
22-01-09,PATNA,Potato,NA
22-01-09,RANCHI,Potato,NA
22-01-09,BHUBANESHWAR,Potato,450
22-01-09,KOLKATA,Potato,NA
22-01-09,GUWAHATI,Potato,NA
22-01-09,SHILLONG,Potato,NA
